id,username,counter,from_messages,channel_request,channel_req_targeted_by,source
1462338131,real_DonaldJTrump,162,161,1,{'channels': ['self']},['real_DonaldJTrump']
1265936035,ConservativesOnTelegram,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
1294256027,FearlessReport,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
1420066358,LetsGoBrandon,6,6,0,{'channels': ['self']},['real_DonaldJTrump']
1196783243,trendingpolitics,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
1406147540,FightingTheCommies,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
1443119244,BREAKINGHEADLINES,9,9,0,{'channels': ['self']},['real_DonaldJTrump']
1459890679,TrumpChannel,5,5,0,{'channels': ['self']},['real_DonaldJTrump']
1424701732,LouDobbz,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
1265710242,Jon_Voight,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
1494683613,TakingBackAmerica,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
1318801077,ThePostMillennial,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
1396332892,DanScavinoFORCE,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
1353088446,AmericanSpectator,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
1242718395,DCEnquirer,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
1430871715,TheBabylonBee,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
1295158110,ViralPolls,16,16,0,{'channels': ['self']},['real_DonaldJTrump']
1446225709,JamesWoodsFans,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
